RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,renta,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1797.779335206286,1810.8705577908065,1828.802646076114,1842.5197938198264,1858.7838610880858,1869.9517876892446,1885.564395881168,1895.2169460293435,1908.317259091942,1913.850268725883,1921.4060456493967,1927.9754414980503,1938.5070642180776,1951.761021443565,1967.6765453366286,1979.023153285745,1992.766270708802,2002.9840045860485,2017.1482694208214,2024.3105849178437,2030.1964368717304,2032.55437033838,2033.9807692038007,2038.9581957546477,2053.7498204207513,2070.6066834806265,2091.1673635643488,2104.650494723696,2120.5616682304953,2130.663390834695,2142.076967206962,2147.5132840728206,2153.184637239859,2155.586657318506,2160.548687025968,2165.2099143006726,2176.1998057555593,2190.2278549805555,2202.85454306414,2213.163595843285,2222.2260090748555,2235.7612586275172,2248.255967341586,2259.4205283953406,2263.9536055876833,2267.7733628556675,2272.8878984237313,2278.2720848790505,2284.6266946309447,2289.0394434796117,2303.3130677065706,2315.099543474575,2328.6763536335084,2337.769225877075,2346.5968674662086,2353.082058747018,2356.707973951663,2358.3290762255565,2359.3830207066226,2362.4360811302586,2367.713789915364,2372.3384078805834,2372.5695302851655,2364.042654491682,2355.1541263018876,2349.6025831325032,2350.229168420973,2349.033770412826,2343.287069903737,2339.2015397812906,2336.9881868788702,2334.364827353861,2337.936154248329,2343.1218005873875,2354.496986524853,2364.9580906784763,2384.02950017665,2415.9738547721445,2455.805857177007,2500.0213966653823,2534.0412795282846,2556.965766671928,2570.191959021131,2588.546545962775,2608.0993315970086,2635.0591733304695,2657.4105011401925,2685.4654414674005,2709.0646684627054,2731.6861000027143,2752.30624427962,2769.2655347815457,2779.8255245448418,2777.972908337724,2773.131974758058,2768.254501837291,2770.3945457424593,2776.6321756333195,2790.5139754443803,2801.5716952346343,2809.0031701249463,2814.1023982506204,2820.074053274873,2829.150433820767,2831.510192675707,2831.4824328916084,2822.1945834968965,2816.971767317576,2819.400400261086,2828.315643207739,2843.657412412288,2855.4957671629204,2870.46334845892,2880.852744505726,2893.4740533432455,2898.4665012306955
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1471.890204211151,1480.7050906928575,1491.7222468833147,1500.8434820376544,1512.2215471370507,1523.0958201813614,1528.7993077348888,1531.959800466756,1526.3373655524877,1518.1364603471284,1508.9528952745497,1508.0435832166254,1516.957905796038,1529.3927548700194,1542.153174350401,1550.4560959191879,1558.0589144375826,1567.581681160423,1574.84988011654,1579.887571889549,1572.5508547247682,1560.7742248006623,1545.9529086683833,1538.8742114646248,1545.6095732053013,1562.0264962700298,1582.4776450312647,1596.936826723132,1608.5841047680735,1615.0543765748937,1617.0230755619139,1611.6849644517943,1603.7575237871652,1590.2600767424683,1580.706744698232,1577.6091105977546,1587.2131592494738,1601.3223468388892,1615.3043948374923,1626.5387658995446,1637.0184135081752,1646.7095189287043,1652.3486527169582,1650.0074846355662,1637.6298776461074,1623.7372336194921,1614.0438825489064,1614.4409053388074,1623.7667344488345,1635.8057866618974,1653.1546648260478,1667.2273449736572,1680.1737583563943,1687.769910066367,1691.514505591403,1692.725085732548,1687.621401615828,1680.0261527599155,1670.4649361667964,1664.6983219382028,1673.0571362587275,1685.8297735803098,1700.6193143678147,1701.7402321577517,1699.65342806367,1695.9929713563643,1693.0659753759799,1684.016456733128,1664.6427567963808,1636.8520464025196,1612.7275995413781,1602.5598308766346,1604.0625734827497,1617.4705159745188,1636.6764450947144,1665.9975589347846,1695.2181079832985,1722.4237500100696,1741.1267122232455,1752.9389124560407,1756.6646128062032,1754.6791479340307,1752.1755367078256,1757.426602561712,1772.4677352286185,1790.8509789081322,1813.153155959824,1837.0638952529414,1864.1929171049633,1885.4162810826301,1902.532402101391,1909.6543297897317,1908.5562079230117,1903.705465503987,1898.6466471535452,1900.4858187381485,1908.555318794803,1923.800457501605,1941.9904644196727,1962.07221240579,1984.8699149282077,2005.4094556543932,2016.452025801254,2020.9369335847334,2014.5287228316151,2003.7918832543635,1993.2331673660221,1995.8202434548102,2006.8991741014224,2024.9705458757244,2041.310136325665,2064.412955428233,2083.796132020964,2101.4955007998833,2108.400673678172,2108.128947228893
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1226.2452427840626,1229.2575218581053,1235.0177160757873,1245.2413899812814,1255.3884147921083,1263.9849831134047,1265.2185633558086,1266.9375681807587,1265.1480393125184,1262.599516327634,1259.149815460396,1256.7753600845165,1258.428063897505,1260.7766312636688,1267.4056503425077,1271.9990476834969,1274.61589617522,1274.5299317705437,1274.2037685385249,1271.8837023626068,1267.278242839731,1263.8100282019163,1258.989528427918,1256.444105415449,1256.550804744144,1264.4486272957263,1273.232633216638,1277.6244379879017,1284.76276697589,1285.824563664569,1286.8917644641704,1281.9748935683097,1288.8590654857942,1297.6160754336127,1310.0972190678624,1317.59678988077,1320.1256566035545,1325.169684625804,1325.5665871890174,1333.6055701552027,1336.1928044078054,1341.7926875027645,1341.113113500271,1339.6162062395688,1335.2752306288985,1336.398464707281,1338.3854562058482,1339.0520937657373,1338.8440644138695,1336.300625487742,1342.633466694249,1347.8912598731547,1358.165486852571,1365.123152862369,1369.3835963282002,1369.2969339254505,1365.6917257495854,1364.6685182717845,1363.424105582501,1366.7042054706,1369.6271684833678,1376.615171954587,1382.7847788756194,1379.3074382447617,1372.473876492132,1365.5448105579676,1369.5073349348863,1373.4196441722881,1373.811733673751,1374.686499422357,1375.618728692839,1375.3029009785796,1376.61760835058,1377.6511349088707,1385.1093922292337,1397.5291979682038,1417.878780930461,1445.6522480707117,1470.9594960186605,1494.3843503671906,1507.929666526986,1515.8504304660664,1520.3980377892215,1523.4504579183,1529.6668636424536,1538.8921524483724,1549.614871917387,1560.6232705680575,1572.1782653918663,1587.434387533384,1600.3243617625205,1607.312517820128,1605.2372806286642,1600.4239738040662,1595.0679438790828,1593.7369855709885,1599.0162655905847,1606.7090399750196,1617.7257332286936,1622.262208892753,1631.3071636959505,1638.5810910195999,1645.4559658567125,1646.5777707746963,1644.257461611318,1640.7378234278772,1638.0348411466507,1638.0147433970467,1641.646161388223,1646.104404996804,1649.6783932225137,1656.6172802281194,1665.473830804112,1674.5559116189916,1678.7840721401478,1682.4972802187128
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,954.010659656881,969.5284539643764,977.1660643118186,990.8913412974053,990.9546137615346,998.9208476619491,998.809980783291,1000.3820684839835,1003.5442397902358,1006.5268388109555,1010.1003208810023,1011.6579840719093,1017.1973092844938,1022.7637812238319,1030.087499297271,1037.2640371823159,1044.9632342707762,1052.009583065324,1056.1270908877066,1057.9614933667617,1059.309322558452,1058.9671886325982,1060.6063639848544,1061.5601219712137,1068.1366747067884,1076.4206424021882,1088.5561790956078,1098.3910665975754,1108.6810267811336,1115.0192456499074,1120.4201875154263,1122.577556821735,1124.8828438438582,1127.1574154928703,1130.256780528783,1132.7392555125825,1136.766878039375,1142.7752614315762,1155.1309614606682,1169.0878429414045,1181.0521970635637,1189.455728093039,1196.5469663106842,1202.6229247477202,1208.8268188050843,1212.838915129982,1218.0984807881052,1223.3632164919927,1227.6038642713306,1236.8943701441037,1247.5103875411075,1263.6571268359778,1275.385660183755,1286.4099321420044,1294.3972265990442,1302.106308990881,1306.9501895579392,1310.4371729295528,1315.7394778393993,1324.4588391111854,1334.8362871872341,1345.6242290863422,1351.047523250765,1350.166896852341,1348.2478130279405,1351.3664199441703,1364.980564339823,1381.3462266601528,1397.7158477942075,1412.5426163960508,1426.0973972483494,1437.6425874890201,1449.5374491925968,1462.8088785736131,1484.228808596622,1513.514386063745,1554.9583817969738,1602.7463115432167,1654.0719550421854,1698.929214204174,1733.0940026214005,1755.6411478339778,1769.2032683096852,1778.9475901254293,1788.07299996582,1798.8505540308213,1812.8223850797249,1825.0917608102327,1834.7755661086626,1842.1085199435556,1848.178737682355,1849.1750998273944,1842.5417672041629,1832.2346241931887,1822.399328782925,1816.9360135146826,1812.7274511890025,1817.2957103633194,1829.858452726106,1838.3724422063026,1842.9487441997965,1841.3427161488385,1845.4239485225687,1845.5258089578153,1844.5498543777867,1841.0447780849447,1834.8706018504874,1828.4496207938678,1827.1058248153627,1835.1774952861244,1845.8661370613056,1855.6724216548453,1860.7798896432046,1861.1889372911548,1861.7665509068177,1861.827423556054
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1713.5885734092685,1725.0184775886653,1734.7567581619155,1737.9635424388478,1749.8637972104302,1758.9054844580457,1776.2335915254828,1787.3864136651878,1795.2571491894864,1799.2293126070676,1797.3185599446972,1805.792024659132,1811.3466385599434,1820.5028911581123,1829.1287710360152,1839.3372876506278,1853.9627274060176,1869.060941938485,1882.1375335029907,1889.4203564733784,1892.6255912933157,1894.8504337220577,1895.2373718629756,1897.8152914552068,1903.944326391699,1920.6826165941204,1939.092602614468,1958.2070606801892,1975.031165920261,1987.3913361212442,2000.0375921010877,2005.3307289424372,2009.3731992204996,2009.8550947000263,2009.57581998601,2011.815257688098,2021.8473419124132,2034.9169629530338,2049.399187631765,2060.896151669453,2077.5666973726693,2088.8868746904845,2099.514113654591,2106.930392537781,2112.5417039027516,2113.4309831950086,2108.6206738577634,2111.5219922364404,2116.1120390001297,2123.711028018775,2129.6858087241258,2140.0670134951574,2153.1363891277683,2165.3746598045327,2177.446564573687,2185.6452803056645,2187.5875524086273,2188.1394632986935,2188.476966536665,2194.0353809443045,2199.071577435277,2204.586581079288,2207.3780433945053,2198.1574503665893,2191.1187691915097,2190.2115219884054,2201.61241966871,2211.5498028528273,2223.4248663591143,2240.7240773705353,2255.73730803297,2266.6334913920223,2272.978259626158,2283.4418518649195,2302.116630264712,2331.0911275018675,2369.6081660460763,2408.1404645799435,2459.806871500407,2514.5332947818047,2573.3022101546267,2609.3510635594794,2632.7093085900533,2649.5151684517123,2668.686243956848,2697.1446894041474,2727.6598673862777,2773.21341591036,2818.3135600411374,2867.1537723158403,2902.381212383358,2932.612090586864,2939.5187474737436,2933.1935384799885,2912.1919353898725,2901.147564935184,2893.9405534127404,2903.3246495623293,2927.6050636289733,2960.1168815487763,2994.8416296725686,3018.402395497415,3037.3528601987673,3045.435567565789,3044.1137114310277,3031.7417488992187,3009.623308191016,2990.980340941066,2981.4960469990156,2991.265552927447,3011.2911523296557,3037.8053145194976,3057.0335572962963,3075.5048202817234,3087.010447932045,3090.3193806567506
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1948.3447599403441,1959.667151197092,1970.6111240151745,1984.55195968812,1995.3804422192527,2008.0489352771774,2018.3347563614961,2030.9704821602502,2034.0026365718213,2039.4080677313304,2035.965782166176,2039.4948896725602,2044.9939138778761,2055.682440759626,2062.433542340882,2067.7468995936597,2082.87852585908,2101.434717590462,2114.106026722908,2115.4337218358514,2118.174133786987,2115.992735057416,2122.1018413076304,2116.6667618449587,2127.730493603253,2139.659962564148,2163.2234234109037,2180.0554605736183,2188.946601856751,2198.699270541925,2204.3184581050455,2209.78927097166,2211.3582350394686,2208.4999569578717,2211.5325644816553,2213.6347098043134,2224.4197110166892,2230.751851304587,2243.0029176060243,2250.2564294872636,2257.862833238135,2264.3386885977256,2270.130865197061,2271.594948662101,2272.8185895564807,2275.0197965622788,2280.19435406837,2283.692983018597,2286.7054076537124,2292.916622550351,2302.0991040095637,2309.5145067012973,2319.63993116921,2327.0701004452017,2337.59134326796,2341.258432830568,2344.5144541509217,2345.254012430929,2350.8311445773415,2351.5022249370904,2360.6699978272504,2365.9469814985437,2371.9651159251857,2355.152537895994,2339.4259365263497,2328.54093539994,,2342.9690066116573,2357.508364875766,2372.5853946864654,2381.550418119461,2388.9888975546987,2401.891955249664,2422.826838318449,2446.1019726926247,2466.7932085934044,2495.352633993186,2542.361019537665,2617.093092866218,,2785.7958968010025,2831.19552295025,2854.096723882271,2867.696448795583,2884.375826044704,2904.3150462611993,2933.24175836093,2966.893900701185,2997.818319735491,3026.8090591234472,3049.4372270341028,3060.82619422173,3056.6848743795736,3043.6249863617422,3027.945771662787,3012.8491727679075,3001.7136666254364,3000.7817525225114,3011.155001126726,3026.673778386125,3045.717172400818,3067.951166547129,3101.947013504474,3132.7094397698447,3146.2983723430893,3146.436574417896,3130.7985398332394,3126.112153857987,3122.80006676941,3132.157552635646,3135.9400560947256,3145.8025470236894,3159.214986662253,3180.0455417829103,3198.5821099871064,3212.367176377902
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2374.6936806527196,2391.5477166551664,2416.2618969830382,2435.1870132209124,2458.9451804050436,2487.28930155443,2505.6288214584224,2517.2590748301395,2531.8372190996915,2542.718882145024,2533.8584905437874,2509.7854093827227,2496.5067234150247,2501.170254227281,2516.1229095852477,2522.8974658229636,2528.8829925120253,2540.355662266994,2559.1983454470496,2575.8294361611893,2583.3841150089793,2580.2564578961337,2582.510263649564,2569.104548304512,2559.9003550941848,2547.142979042076,2551.4695817450456,2564.8233115178323,2577.937709631261,2594.376468920967,2611.8847258509777,2626.9065995974656,2626.5172438896398,2607.577152113379,2586.649690032522,2573.5175533471743,2573.5357921077334,2575.380524609519,2588.8706508986706,2606.538088712557,2625.8419422423935,2641.2802702790077,2652.6863576636056,2663.850705087964,2665.910983678358,2656.7843421448633,2642.3623616123004,2624.315900817488,2627.311052756108,2640.1009310275717,2667.505526255924,2685.2705697040074,2709.4928836068043,2725.9308767933812,2750.7179931197807,2766.81793525721,2782.4958991421167,2785.62962629206,2782.1093167003223,2773.45602127379,2772.594020327406,2782.5150160033586,2799.4438250612325,2792.630305890198,2772.042566195692,2739.1972407400162,2715.2481022373117,2678.2286453461425,2628.776974234972,2583.0014944698514,2548.490125854327,2530.4400884492456,2522.264012315373,2530.3068430142584,2551.444594120984,2585.6337589929594,2625.4849582499082,2678.78482310772,2734.593892211563,2790.170296473302,2839.2409388225938,2865.816150762172,2889.6031999634342,2898.531569197585,2929.489069100061,2963.3398807287117,3015.7403382393677,3063.6503350438143,3127.593099478129,3192.2346025353504,3254.4302160659645,3296.487759971442,3307.610362862066,3298.729972249536,3257.4676747368917,3222.464860620765,3211.3299814387624,3227.23572691448,3250.733833635882,3280.62802834498,3317.012143150462,3360.745855399905,3389.317140377025,3407.5059762502137,3415.9831909640643,3400.946691728378,3360.103172613966,3329.1835508567815,3326.5754136351284,3353.3133449029774,3383.2006187957627,3410.442733696009,3449.9597180677583,3486.8896642488303,3512.898153171977,3514.0502408601387
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1668.630042596011,1680.0009851925868,1692.441098942806,1702.8589685853974,1713.43223181982,1721.4493577210587,1729.4623519239885,1735.5569795424171,1743.6551182009314,1745.9653272813255,1752.8611780172525,1756.977425467395,1763.9726957994276,1767.4621987473877,1771.5231281569033,1771.4226673384653,1770.79738073542,1767.8388808364766,1768.0872113990047,1765.1776210034882,1765.0344764001838,1762.3894797182722,1760.2875909823333,1755.3471811120125,1760.7606687529076,1767.1082974613764,1777.5786159522852,1778.6858885989602,1781.5857627662092,1782.7447130655744,1784.247070143574,1786.820289066794,1789.8454471142363,1793.9119357884063,1793.9603576536244,1794.6470827563376,1797.3914759135623,1802.3493055262625,1807.5180723299816,1812.1078161593932,1815.3592367739564,1820.7637500850083,1825.648957047655,1831.6544901332095,1834.6569648329867,1838.4578571705024,1841.1763399863728,1844.6326564976061,1846.197171493928,1844.0925061726432,1847.0234315279044,1851.686977596728,1859.4072489498149,1862.7059956065882,1863.4288008553804,1866.1176173485444,1867.8542635690446,1876.4734034505468,1886.5066878674759,1896.2494007445366,1899.5573189024803,1901.9192012422568,1900.5732471646695,1890.5425077668544,1876.3496748221257,1870.9458493046789,1873.9395218008053,1875.6215409021509,1871.6089041752223,1875.7682949020027,1890.3912092237358,1908.818220297518,1933.3484827790187,1968.7708136620847,2007.56329447438,2050.914078495896,2095.393586158111,2152.591380599892,2221.404425364329,2286.0869979911,2345.289081856089,2391.337573438844,2436.992721887348,2491.1016624764375,2539.244415380989,2603.7150574601715,2662.1193316481867,2727.5256381818435,2774.6839669346896,2809.9857462881428,2834.8030947948087,2846.927373739898,2855.5194779993344,2851.18863949085,2848.2983770454807,2850.2233531847596,2853.8561041267712,2861.5623921830515,2871.316320555178,2885.5733730820157,2891.433422734577,2891.1292750705475,2889.539191973599,2885.7448442463915,2883.7464336037388,2885.5697504120585,2896.4177536083794,2895.47628867125,2896.3340693274636,2903.2899760090004,2924.6197194847946,2943.1625280169983,2952.8914765658124,2953.1471301134934,2955.872665559028,2954.799236493085
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1089.3591534217633,1092.2869447402675,1099.3347080491092,1114.6095623522351,1127.8722208739177,1137.7358587153565,1146.5848551152235,1150.6475534676856,1152.7816738098015,1153.3295095239941,1157.3497886023645,1161.112196859244,1163.8661301560815,1168.653513128521,1175.7932770634097,1186.6292700705114,1195.5272151852075,1205.8873292392564,1209.3085303692835,1213.398581875401,1213.8149693935006,1219.4156114075224,1222.6708257068635,1226.4801264766288,1233.4568267549835,1237.7229757739392,1249.0238180017332,1257.6212612097825,1270.8319988932853,1276.043713488795,1280.5660636352547,1280.0599296234539,1280.0695783423564,1277.0811831577976,1285.3027948291058,1289.1942856266026,1294.3744472965052,1299.8248100879823,1302.773073578921,1307.0794165648706,1306.4312266838317,1318.5263258803438,1324.5276709679288,1329.2247544316838,1321.9849675725688,1323.9277379002024,1325.443522299253,1329.4648241778084,1334.8953280480102,1337.8443500039907,1348.2146596709658,1355.732465816389,1364.3416742959648,1376.2674671793193,1379.037759049301,1383.1132317407044,1381.0999506595667,1379.9339539570603,1375.2155168400107,1367.481883645557,1371.798976399064,1378.4597158031897,1386.817074890056,1383.0652723884946,1378.825964855957,1376.7301521574975,1378.390257030012,1381.3078915756134,1382.8198511367916,1385.5965051505425,1385.1995744193225,1388.1751486168562,1391.2588698010215,1401.152341880057,1409.9694383673623,1429.0462838141366,1453.0141318423516,1487.808279189987,1523.101761060895,1555.4170846833872,1579.8127515111516,1593.399225051137,1603.470308529447,1610.1308712418045,1622.1127001335628,1638.0809539301583,1651.647997631234,1672.1001161240774,1694.6618951547516,1730.3973746077065,1753.4806791714495,1762.5308140328768,1756.951812920355,1740.8111726112074,1728.4388760928998,1716.150925022055,1714.76710906949,1716.3351389422758,1725.764519076333,1732.4619268227145,1740.525749863445,1746.6103354783806,1753.597922154125,1754.9937705956436,1751.260815474988,1745.4538564238694,1741.9829116083054,1735.658233463602,1732.3453891605316,1726.4569966299605,1725.0824305591193,1725.7685393855925,1733.6150261443347,1744.801191238633,1754.534062997138,1760.7416972550056
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1400.5450093207398,1402.704542243051,1405.271144509473,1413.1370610440263,1421.0307982388636,1432.6518757427189,1442.4822709983289,1447.3855230502668,1454.2096528615884,1461.3198982498855,1467.8296370819767,1472.2729351463704,1471.830786257623,1479.9777603215507,1482.8650197116388,1484.1364980889884,1488.439228107136,1494.2143302993672,1505.9714351248654,1510.8643886591858,1524.8861219840342,1527.1488300205804,1534.9885635896876,1531.6904796921183,1547.3609157416588,1557.9545037669454,1571.7274935696698,1582.4170745358,1590.4272894647181,1602.2309337840202,1610.9457142454341,1623.2206224138308,1628.366730743304,1633.4343258928045,1637.7103671806092,1641.4934557919657,1649.452821990147,1660.1945309905761,1671.230224697752,1674.8718576804388,1677.4502540759695,1685.9379009712866,1696.6170722986249,1707.5316387819832,1718.2213884721675,1729.994686724998,1736.9860070120983,1742.7089217863177,1742.5296859495902,1744.867676307399,1751.644495565617,1763.047562702762,1775.2592900872203,1782.773355653151,1792.6668221696425,1801.9680414606373,1808.5530648071085,1813.8510395203718,1817.1514162820072,1822.8058055582878,1825.900299849435,1833.8452032021999,1837.7578205008028,1833.8273871414324,1828.037943947133,1837.1113133829044,1860.0242411980666,1892.0285769086436,1921.262688711059,1949.2268068109645,1974.4735909741626,1995.0417704128868,2017.7077269974652,2041.069255129186,2066.830680701847,2083.6545779530493,2119.1879002661203,2156.8487517313406,2215.661605574053,2260.01270583836,2304.8076547826104,2325.7804802128667,2346.0294686780658,2348.1128228379716,2369.795335255545,2383.9341084416724,2422.6066569426557,2450.313401088445,2471.2611595185317,2485.321933387373,2496.8257311500242,2511.535063832849,2518.50251557703,2513.5949740954748,2505.663600656959,2498.568717979297,2502.270264487059,2507.711118834993,2516.640899211072,2522.539286033002,2528.811977441035,2528.779594410589,2532.6532225356973,2543.7960740805675,2552.2064258643704,2575.5586126920175,2575.625530027996,2581.690698133363,2566.557531979537,2580.7969586363547,2587.9560324058334,2604.32795219429,2612.9850751471154,2617.646109270386,2630.647725555898,2634.649006342163
